"","Soccer_Team","State_Capital","Former_East_Germany","Industrial_Belt","Licence_plate","Intercity_trainline","Exposition_Site","National_Capital","University","y"
"77",0,0,0,1,0,0,0,0,0,105403
"62",0,0,0,0,0,0,0,0,0,123155
"53",0,0,0,0,0,1,0,0,1,138920
"40",1,1,0,0,0,1,1,0,1,191694
"67",0,0,0,0,0,0,0,0,0,115843
"49",1,0,0,0,0,0,0,0,0,160919
"8",1,1,0,0,1,1,1,0,1,579988
"28",1,0,0,0,0,0,0,0,0,259436
"69",0,0,1,0,1,0,0,0,0,114636
"76",0,0,0,0,0,1,0,0,0,105489
"21",0,0,1,0,1,0,0,0,0,294244
"43",0,1,0,0,0,1,0,0,1,179486
"44",0,0,0,1,0,0,0,0,0,178132
"47",0,0,0,0,0,1,0,0,1,163168
"46",0,0,0,0,0,1,0,0,0,165401
"41",0,0,0,0,0,1,0,0,1,191029
"70",0,0,0,0,0,0,0,0,0,114355
"55",0,0,0,0,0,1,0,0,0,130446
"14",1,0,0,0,1,1,1,0,1,493692
"27",0,0,0,0,0,1,0,0,1,259438
"79",0,0,0,1,0,0,0,0,0,104595
"56",0,0,1,0,1,1,0,0,0,129037
"10",1,1,0,0,0,1,0,0,1,551219
"45",0,0,0,1,0,0,0,0,0,177681
"16",1,0,0,1,0,1,0,0,1,396486
"15",1,0,1,0,0,1,0,0,1,490571
"42",0,0,0,1,0,1,0,0,0,179639
"4",1,0,0,0,1,1,1,0,1,953551
"82",0,0,0,0,0,1,0,0,0,103362
"38",0,1,1,0,0,1,0,0,0,208989
"64",0,0,0,0,1,1,0,0,1,121691
"61",0,0,0,1,0,1,0,0,0,125060
"78",0,0,0,0,0,1,0,0,1,105291
"9",0,1,0,0,1,1,1,0,1,575794
"52",0,1,1,0,1,1,0,0,0,139794
"29",0,0,0,0,0,1,0,0,1,258833
"73",0,0,0,0,0,0,0,0,1,109174
"13",0,0,1,0,1,1,1,0,1,511079
"6",0,0,0,1,1,1,1,0,1,626973
"37",0,0,0,1,0,1,0,0,0,214449
"25",1,0,0,0,0,1,0,0,0,275061
"30",0,0,0,0,1,1,0,0,1,256877
"36",0,0,0,0,0,1,0,0,0,214758
"75",0,0,1,0,1,1,0,0,1,105518
"81",0,0,0,0,0,0,0,0,0,103687
"54",0,0,0,0,0,1,0,0,1,136796
"51",0,0,0,0,0,1,0,0,1,143131
"34",0,0,0,0,0,1,0,0,1,241961
"66",0,0,0,1,0,0,0,0,0,118936
"19",0,0,0,0,0,1,0,0,1,310411
"11",0,0,0,1,0,1,0,0,1,535447
"48",0,0,0,0,0,1,0,0,0,162173
"63",0,0,0,0,0,1,0,0,1,121831
"2",1,1,0,0,0,1,1,0,1,1652363
"39",0,0,0,0,0,1,0,0,1,194268
"1",0,1,0,0,1,1,1,1,1,3433695
"20",0,0,1,0,0,1,0,0,0,310234
"22",1,0,0,1,0,1,0,0,0,293714
"80",0,0,0,0,0,0,0,0,0,104037
"23",0,0,0,0,0,1,0,0,1,292234
"74",0,0,0,0,0,1,0,0,1,108733
"18",0,0,0,0,0,1,0,0,1,319037
"72",0,0,0,0,0,1,0,0,1,110529
"33",0,0,0,0,0,0,0,0,0,244020
"50",0,0,0,0,0,0,0,0,0,147019
"60",0,0,1,0,0,0,0,0,0,125891
"58",0,0,0,0,0,1,0,0,1,127777
"7",1,0,0,1,0,1,1,0,1,599055
"5",1,0,0,0,1,1,1,0,1,644865
"71",0,0,0,0,0,1,0,0,0,112944
"35",0,0,0,1,0,1,0,0,0,223840
"17",0,0,0,1,1,1,0,0,1,383660
"24",0,1,1,0,0,1,0,0,0,278807
"3",1,1,0,0,1,1,1,0,1,1229026
"32",0,1,0,0,0,1,0,0,1,245567
"65",0,0,0,0,0,0,0,0,1,120680
"26",0,1,0,0,0,1,0,0,0,260301
"31",0,0,1,0,0,1,0,0,0,248088
"68",0,0,0,0,0,0,1,0,0,114992
"83",0,0,0,0,0,1,0,0,1,102440
"57",0,0,0,0,0,0,0,0,0,128510
"12",0,1,0,0,1,1,1,0,1,513010
"59",0,1,1,0,0,1,0,0,0,127447
